"CharName","Cutpoint","CntRec","CntGood","CntBad","CntCumRec","CntCumGood","CntCumBad","PctRec","GoodRate","BadRate","Odds","LnOdds","WoE","IV","CharBinNum","IV_Char"
"os2_fashion_quotient_flag","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","4","0.0003"
"os2_fashion_quotient_flag","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","5","0.0003"
"telecom_affluence_flag_2","= '-99999'","72524","6459","66065","72524","6459","66065","0.9341","0.0891","0.9109","0.0978","-2.3252","-0.0028","0","1","0.0003"
"telecom_affluence_flag_2","= '0'","4582","416","4166","77106","6875","70231","0.059","0.0908","0.9092","0.0999","-2.304","0.0184","0","2","0.0003"
"telecom_affluence_flag_2","= '1'","534","57","477","77640","6932","70708","0.0069","0.1067","0.8933","0.1195","-2.1245","0.1979","0.0003","3","0.0003"
"telecom_affluence_flag_2","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","4","0.0003"
"telecom_affluence_flag_2","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0003","5","0.0003"
"id_inv","= '-99999'","75136","6723","68413","75136","6723","68413","0.9677","0.0895","0.9105","0.0983","-2.32","0.0024","0","1","0.0002"
"id_inv","= '1'","2504","209","2295","77640","6932","70708","0.0323","0.0835","0.9165","0.0911","-2.3962","-0.0737","0.0002","2","0.0002"
"id_inv","Missing","0","0","0","77640","6932","70708","0","NaN","NaN","NaN","NaN","NaN","NaN","3","0.0002"
"id_inv","Total","77640","6932","70708",NA,NA,NA,"1","0.0893","0.9107","0.098","-2.3224","0","0.0002","4","0.0002"
